"LFS_COUNTRY","Country","PROG","Programmes","MEAS","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",0.21,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",0.21,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",0.19,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",0.22,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",0.22,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",0.21,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",0.2,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.2,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.2,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.19,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.17,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.18,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.22,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.21,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.19,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.17,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.16,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.19,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",0.15,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",0.14,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",0.15,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",0.13,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",0.07,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",0.04,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",0,"n","Nil or less than 0.005"
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.01,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.03,,
"AUS","Australia","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.03,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1992","1992",0.09,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1993","1993",0.1,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1994","1994",0.06,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1995","1995",0.06,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1996","1996",0.06,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1997","1997",0.04,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1998","1998",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","1999","1999",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2000","2000",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2001","2001",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2002","2002",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2003","2003",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.01,,
"AUS","Australia","40","Employment incentives","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.01,,
